Partlist

Exported from TiLDA Mk2 Prototype v0.1.sch at 18/01/2014 12:49:16

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                       Device                    Package                  Library           Sheet
R13      0402/0R/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R14      0402/1K/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R15      0402/12R/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R16      0402/12R/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R17      0402/82R/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R18      0402/12R/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R19      0402/12R/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R20      0402/82R/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R21      0402/100K/1%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R22      0402/100K/1%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R23      0402/100K/1%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R24      0402/100K/1%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R25      0402/1K/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R26      0402/10K/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R27      0402/100K/1%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R28      0402/6K2/1%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R29      0402/100K/1%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R30      0402/3K01/1%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
